Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Impasse Varagnat,Varagnat (impasse),IMPASSE,7e,,Supprimée,Attestée de 1901 à 1962.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Délibération du Conseil Municipal du 15 avril 1902, p.113.",Inconnue.,Chemin de Gerland,,,,69387.0,28513.0,,6903877255D
Impasse Varson,Varson (impasse),IMPASSE,7e,,Supprimée,Attestée en 1912.,,"Fiches préparatoires de Vanario.
Indicateur de 1912.",Inconnue.,6 chemin du Pré-Gaudry,,,,,,,
Impasse Viallon,Viallon (impasse),IMPASSE,3e,,Supprimée,Attestée de 1879 à 1960.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de Lyon de 1879 à 1960.",Nom d'un propriétaire des terrains.,Rue de Baraban,,Urbanisme/Histoire locale/Personnalité,,,,,
Impasse Vieille-Monnaie,Vieille-Monnaie (impasse),IMPASSE,1er,,Supprimée,Attestée en 1845.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de Lyon de 1845.",En référence à l'atelier monétaire de Claude Besson.,,,Finances,,,,,
Mail de la Villette,Villette (mail de la),MAIL,3e,,Supprimée,Attesté en 1986.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Du nom d'un lieu-dit.,Gare de la Part-Dieu,,Histoire locale,,,,,
Montée Commune,Commune (montée),MONTEE,5e,,Supprimée,Attestée en 1813.,"""Il facilite la communication du Gourguillon au Chemin Neuf (…) et d'autant plus utile que son entrée par le Gourguillon se trouve vis-à-vis de la rue de Bourdis qui communique avec la montée des Épies et conséquemment avec les quartiers de St-Georges et St-Just""",315W (montée du Chemin-Neuf),Inconnue.,Montée du Gourguillon,Chemin Neuf,,,,,,
Montée du Clos-Bougnol,Clos-Bougnol (montée du),MONTEE,4e,,Supprimée,Attestée de 1860 à 1868.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Du nom d'un clos.,,,Histoire locale,,,,,
Montée du Pont-du-Change,Pont-du-Change (montée du),MONTEE,1er,,Supprimée,,Se trouvait près de la place d'Albon. ,,"Le pont reliait la place du Change, lieu de transactions commerciales, à la presqu'île.",,,Architecture/Pont,,,,,
Montée du Ruer,Ruer (montée du),MONTEE,5e,,Supprimée,Attestée en 1517 et 1538.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Vermorel historique des rues p. 53.",Inconnue.,Rue Juiverie,,,,,,,
Montée Joseph-Ernest-Vial,Joseph-Ernest-Vial (montée),RUE,5e,,Supprimée,Attestée de 1936 à 1967.,"A été un fragment de la montée du Petit-Choulans.
A été supprimée lors de la création du tunnel de Fourvière vers 1967.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Pharmacien, conseiller municipal en 1904 et adjoint en 1919. Né le 6 juillet 1852 à Lyon, mort à Saint-Cyr-au-Mont-d'Or le 11 juillet 1935.",,,Politique/Commerce/Personnalité,,69385.0,28316.0,,6903853915G
Montée Saint-Clair-Duport,Saint-Clair-Duport (montée),MONTEE,5e,,Supprimée,Dénommée en 1912 et supprimée en 1967.,"A été dénommée impasse Duport de 1903 à 1912.
A été supprimée lors du percement du tunnel de Fourvière en 1967.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur Henry de 1912.","Clair-Dominique-Eugène Duport, dit Saint-Clair-Duport, économiste, administrateur des Hospices. Né le 28 mai 1804 à Lyon (Nord), mort à Lyon (2e) le 14 janvier 1882.",,,Économie/Hospices civils de Lyon/Personnalité,,69385.0,28187.0,,6903856285H
Passage Babolat,Babolat (passage),PASSAGE,7e,3e,Supprimée,Attesté en 1903.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom d'un propriétaire.,Passage des Écoles,Chemin des Cures-au-Rhône,Personnalité,,,,,
Passage Berjon,Berjon (passage),PASSAGE,6e,,Supprimée,Attesté de 1882 à 1955.,Autre orthographe : passage Bergeon.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Peintre, professeur à l'École des Beaux-Arts. Né à Vaise (Lyon 9e) le 17 mai 1754, mort à Lyon le 24 octobre 1843.",Rue du Lieutenant-Colonel-Prévost,Rue Duquesne,Beaux-arts/Peinture/Personnalité,,,,,
Passage Biétrix,Biétrix (passage),PASSAGE,3e,,Supprimée,Attesté en 1874 et supprimé vers 1995.,Ancienne voie privée.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Famille originaire du Dauphiné, fixée à Lyon sous la Restauration. Elle possédait le terrain.",Rue Chaponnay,Rue Verlet-Hanus,Histoire locale/Urbanisme,,69383.0,27744.0,,6903830910Z
Passage Bonnardel,Bonnardel (passage),PASSAGE,7e,3e,Supprimée,Attesté en 1901 et supprimé en 1987.,Aurait été appelé passage Seguin.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Propriétaire.,Avenue Tony-Garnier,Avenue Jules-Carteret,Histoire locale/Urbanisme/Personnalité,,69387.0,30067.0,,6903871005K
Passage Bossuet,Bossuet (passage),PASSAGE,6e,,Supprimée,Attesté de 1906 à 1962.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Jacques Bénigne Bossuet, né à Dijon le 27 septembre 1627, mort à Paris le 12 avril 1704. Prédicateur et écrivain, évêque de Meaux.",Rue de Sèze,Rue Bossuet,Religion/Littérature/Personnalité,,,,,
Passage Bougnole,Bougnole (passage),PASSAGE,4e,La Croix-Rousse,Supprimée,Attesté seulement en 1831.,Identique au passage Bouniols?,Fiches préparatoires de Vanario.,Propriétaire.,,,Personnalité,,,,,
Passage Bouniols,Bouniols (passage),PASSAGE,4e,,Supprimée,,"Devait se situer vers les rues Richan, Claudius-Linossier et Tour-du-Pin.
Identique au passage Bougnole?",,Inconnue.,,,,,,,,
Passage Chaponnay,Chaponnay (passage),PASSAGE,3e,,Supprimée,Attesté de 1868 à 1907.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),La famille de Chaponnay (plus souvent orthographié Chaponay) fut importante à Lyon du XIIIe eu XVIIe siècle.,Rue Mazenod,Rue Chaponnay,Histoire locale/Noblesse,,,,,
Passage Charlemagne,Charlemagne (passage),PASSAGE,6e,,Supprimée,Attesté en 1874.,,"Fiches préparatoires de Vanario.
Attesté le 4 décembre 1874 (A.M. Série O n° 52, vol 3, dossier 7)","Charles 1er le Grand, dit Charlemagne (742-814)
Souverain de la dynastie des Carolingiens.",Rue Charlemagne,Rue Sainte-Élisabeth,Monarchie/Moyen Âge/Personnalité,,,,,
Passage Croix-Paquet,Croix-Paquet (passage),PASSAGE,1er,,Supprimée,Attesté en 1628.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002).
BB/173 ","Permission demandée par un particulier ""ayant dévotion, de restablir une croix en la place qui avoisine la maison du sieur Pacquet"" en 1628.",,,Religion/Histoire locale,,,,,
Passage de Bonnel,Bonnel (passage de),PASSAGE,3e,,Supprimée,Attesté de 1862 à 1881.,,315W,"Jacques de Bonnel, échevin 1702-1703. Né le 12 mars 1630 (paroisse Saint-Paul), décédé le 5 juin 1704 (Paroisse Sainte-Croix).",,,Échevin/Personnalité,,,,,
Passage de Choulans,Choulans (passage de),PASSAGE,5e,,Supprimée,Attesté en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.
",Le nom de Choulans ou Cholan désignait une maison forte et un hameau qui se situaient en-dessous du bourg de Saint-Just.,141 chemin de Choulans,Impasse de Choulans,Histoire locale/Urbanisme,,,,,
Passage de la Déserte,Déserte (passage de la),PASSAGE,1er,,Supprimée,Créé avant 1854.,"A changé de dénomination avant 1895 : est devenu le passage de la Martinière.
A changé de dénomination en 1995 : est redevenu le passage de la Déserte.",Délibération du Conseil municipal du 9 février 1995. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Couvent fondé en 1296 par Blanche de Châlon, dame de Belleville.",,,Religion/Moyen Âge,,,,,
Passage de la Soie,Soie (passage de la),PASSAGE,1er,,Supprimée,Attesté en 1955.,A été supprimé.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Inconnue.,Rue Pizay,Rue de l'Arbre-Sec,Industrie/Textile/Soie,,69381.0,27301.0,,6903816795E
Passage de la Viabert,Viabert (passage de la),PASSAGE,6e,,Supprimée,Attesté de 1885 à 1906.,A été supprimé lors de la construction de la gare des Brotteaux.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.",Nom d'un domaine.,Chemin de Bellecombe,Fossés du Fort des Brotteaux,Urbanisme/Histoire locale,,,,,
Passage de la Vieille-Monnaie,Vieille-Monnaie (passage de la),PASSAGE,1er,,Supprimée,Supprimé avant 1987.,,,En référence à l'atelier monétaire de Claude Besson.,,,Finances,,69381.0,27339.0,,6903817435A
Passage de l'Hôpital,Hôpital (passage de l'),PASSAGE,2e,,Supprimée,Attesté en 1845 et supprimé en 1958.,A été également dénommé passage de l'Hôtel-Dieu.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence à l'hôpital de l'Hôtel-Dieu.,,,Santé/Hospices civils de Lyon,,,,,
Passage de l'Hôtel-Dieu,Hôtel-Dieu (passage de l'),PASSAGE,2e,,Supprimée,Attesté en 1845 et supprimé en 1958.,A été également dénommé passage de l'Hôpital.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de 1845.",En référence à l'hôpital de l'Hôtel-Dieu.,,,Santé/Hospices civils de Lyon,,,,,
Passage de Pavie,Pavie (passage de),PASSAGE,2e,,Supprimée,,Prolongeait la rue de Pavie jusqu'à la place des Cordeliers.,Fiches préparatoires de Vanario.,"Simon de Pavie, dit de Rovédis, médecin lyonnais au XVe siècle, finança la construction de l'église des Cordeliers.",,,Médecine/Religion/Renaissance/Personnalité,,,,,
Passage de Pazzi,Pazzi (passage de),PASSAGE,2e,,Supprimée,Attesté de 19821 à 1959.,,"Fiches préparatoires de Vanario.
Pan géométral de la Ville, Coillet, 1821.
",Famille florentine réfugiée à Lyon au XVe siècle.,,,Histoire locale/Italie/Renaissance,,,,,
Passage Denfer-Rochereau,Denfert-Rochereau (passage),PASSAGE,4e,,Supprimée,Attesté en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Aristide Denfert-Rochereau, dit le lion de Belfort. Né à Saint-Maixent-l'École le 11 janvier 1823, mort à Versailles le 11 mai 1878. Officier, Gouverneur de Belfort en 1870, il défendit la place contre tous les assauts allemands. Député de Paris en 1876.",Rue Denfert-Rochereau,Rue Hénon,Histoire militaire/Guerre franco-allemande de 1870-1871/Personnalité,,,,,
Passage des Augustins,Augustins (passage des),PASSAGE,1er,,Supprimée,Attesté de 1865 à 1884.,Créé en 1865.,"Délibération du Conseil municipal du 20 octobre 1865. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)",Les religieux Augustins s'établirent à Lyon (actuelle église Notre-Dame-Saint-Vincent) au début du XIVe siècle.,Quai Saint-Vincent,Place de la Martinière,Religion,,,,,
Passage des Églantiers,Églantiers (passage des),PASSAGE,6e,,Supprimée,Attesté en 1885 et supprimé en 1904.,A été supprimé lors de la création de la gare des Brotteaux.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,Botanique,,,,,
Passage des Farges,Farges (passage des),PASSAGE,5e,,Supprimée,Attesté en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Le nom pourrait venir d'une déformation du mot forge, en tant qu'atelier. Il y avait plusieurs forgerons à la porte de Lyon, ils ferraient chevaux et chariots des voyageurs arrivant à Lyon.",Rue des farges,,,,,,,
Passage du Bac,Bac (passage du),PASSAGE,7e,3e,Supprimée,Attesté en 1903.,Passage du Port Édouard-Herriot.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Le bac est un grand bateau plat, de forme généralement rectangulaire.",,,Nautisme,,,,,
Passage du Chapeau-Rouge,Chapeau-Rouge (passage),PASSAGE,9e,5e,Supprimée,Attesté en 1935.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.
4S/99
",Enseigne d'une ancienne et célèbre auberge.,Rue du Chapeau-Rouge,,Histoire locale/Commerce,,,,,
Passage du Gouvernement,Gouvernement (passage du),PASSAGE,5e,,Supprimée,Attesté en 1860.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1860.",Les gouverneurs du Lyonnais y eurent leur domicile à l'emplacement du n° 4.,Place du Gouvernement,Quai Romain-Rolland,Politique,,,,,
Passage du Mont-sauvage,Mont-Sauvage (passage du),PASSAGE,1er,,Supprimée,,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom d'un lieu-dit.,Rue du Bon-Pasteur,Montée du Lieutenant-Allouche,Urbanisme/Histoire locale,,,,,
Passage du Parfait-Silence,Parfait-Silence (passage du),PASSAGE,6e,,Supprimée,Attesté en 1882.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1882.",Nom d'un loge maçonnique installée dans cette rue.,,,Franc-maçonnerie,,,,,
Passage Fénelon,Fénelon (passage),PASSAGE,6e,3e,Supprimée,Attesté de 1860 à 1901.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1860.","François de Salignac de la Mothe, né le 6 août 1651 au château de Fénelon, mort en 1715. Écrivain, évêque de Cambrai.",Cours Lafayette,Rue Fénelon,Religion/Personnalité,,,,,
Passage Fillon,Fillon (passage),PASSAGE,7e,,Supprimée,Attesté en 1903.,A été également dénommé chemin Diederichs.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1903.","Fillon, parfois orthographié Fillion, était un soyeux lyonnais mort en 1713 qui a laissé sa fortune aux enfants nécessiteux.",Avenue Leclerc,Quai Fillon,Textile/Soie/Bienfaisance/Personnalité,,,,,
Passage Garin,Garin (passage),PASSAGE,4e,La Croix-Rousse,Supprimée,,,Fiches préparatoires de Vanario.,Inconnue.,,,,,,,,
Passage Imbert,Imbert (passage),PASSAGE,6e,,Supprimée,Attesté de 1853 à 1889.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de Lyon de 1853 à 1889.",Inconnue.,Rue Madame (rue Pierre-Corneille),Avenue du Maréchal-de-Saxe,,,,,,
Passage Jalabert,Jalabert (passage),PASSAGE,7e / 8e,,Supprimée,Attestée de 1903 à 1962.,L'école professionnelle Paris-Rhône est construite sur son emplacement.,"Fiches préparatoires de Vanario.
Annuaires de 1903 à 1963.",Inconnue.,,,,,,,,
Passage Laracino,Laracino (passage),PASSAGE,7e,3e,Supprimée,Attesté en 1903 et supprimé en 1906.,A été supprimé lors de la construction des Abattoirs.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Chemin des Culattes,,,,,,,
Passage Madame,Madame (passage),PASSAGE,6e,,Supprimée,Attesté de 1866 à 1887.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Titre porté par l'épouse de ""Monsieur"", premier frère du Roi.",,,Monarchie/Femme,,,,,
Passage Mazenod,Mazenod (passage),PASSAGE,3e,,Supprimée,Attesté de 1868 à 1912.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Catherine Mazenod, dame de Servient, légua à l'Hôtel-Dieu, le domaine de la Part-Dieu. Née à Lyon (Sainte-Croix) le 28 octobre 1649, morte à Lyon (Ainay) le 23 février 1733.",Rue Mazenod,Rue Chaponnay,Bienfaisance/Hospices civils de Lyon/Femme/Personnalité,,,,,
Passage Midrié,Midrié (passage),PASSAGE,7e,3e,Supprimée,Attesté en 1855.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom du propriétaire des terrains.,Impasse Midrié,,Urbanisme/Histoire locale/Personnalité,,,,,
Passage Nectoux,Nectoux (passage),PASSAGE,5e,,Supprimée,Attesté en 1925.,"Permettait de traverser la voie ferrée de Saint-Just à Vaugneray, près du chemin de la Garde.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Passage Octrue,Octrue (passage),PASSAGE,3e,,Supprimée,Attesté en 1903 et supprimé avant 1926.,Voie supprimée.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Chemin des Cures,Chemin de Debourg,,,,,,
Passage Paul-Bert,Paul-Bert (passage),PASSAGE,3e,,Supprimée,Attesté en 1924.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Physiologiste et homme politique, né à Auxerre en 1833, mort à Hanoï en 1886.",177 Rue Paul Bert,,Sciences et techniques/Physiologie/Politique/Personnalité,,,,,
Passage Poncet,Poncet (passage),PASSAGE,1er,,Supprimée,Attesté seulement en 1860.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1860.",Inconnue.,Rue Lanterne,Place des Terreaux,,,,,,
Passage Rochon,Rochon (passage),PASSAGE,3e,,Supprimée,Attesté de 1885 à 1995.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Listes des voies privées de 1885 et 1955.",Nom d'un propriétaire des terrains.,Rue Laviolette,Rue Trarieux,Urbanisme/Histoire locale/Personnalité,,69383.0,30714.0,,
Passage Sainte-Pauline,Sainte-Pauline (passage),PASSAGE,3e,,Supprimée,Attesté en 1885.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1885.",Inconnue.,Chemin de Sainte-Pauline,Impasse Saint-Victorien,Religion/Personnalité/Femme,,,,,
Passage Saint-Marc,Saint-Marc (passage),PASSAGE,3e,,Supprimée,Attesté de 1899 à 1955.,,"Fiches préparatoires de Vanario.
Indicateur de 1899.
Liste des voies privées de 1955.","Il y a plusieurs Saint-Marc, dont le plus fameux a écrit l'un des quatre évangiles. Il est représenté avec un lion.",Rue Guilloud,Rue des Dahlias,Religion/Personnalité,,,,,
Passage Saint-Nizier,Saint-Nizier (passage),PASSAGE,2e,,Supprimée,Attesté en 1895.,A été également dénommé allée des Morts ou cour Saint-Nizier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Évêque de Lyon au VIe siècle, à qui est dédiée l'église sur la place.",,,Religion/Personnalité,,,,,
Passage Saint-Pothin,Saint-Pothin (passage),PASSAGE,6e,,Supprimée,Attesté de 1854 à 1899.,A été supprimé vers 1900.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1C/702106",Premier évêque et fondateur de l'église de Lyon. L'église Saint-Pothin fut achevée en 1843.,Église Saint-Pothin,Rue Duguesclin,Religion/Personnalité,,,,,
Passage Tête-d'Or,Tête-d'Or (passage),PASSAGE,6e,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.","Nom provenant d'une légende relative à une tête en or, qui aurait été enterrée sur le domaine qui portait déjà ce nom en 1520, alors propriété de la famille Lambert.",Rue Tête-d'Or,Rue Garibaldi,Histoire locale,,,,,
Passage Tramuset,Tramuset (passage),PASSAGE,8e,,Supprimée,Supprimé avant 1987.,,Fiches préparatoires de Vanario.,Nom d'un propriétaire des terrains.,Rue Seignemartin,Rue Laënnec,Urbanisme/Histoire locale/Personnalité,,69388.0,28777.0,,6903887108P
Passage Vendôme,Vendôme (passage),PASSAGE,6e,,Supprimée,Attesté de 1868 à 1913.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1868.","À partir du XVe siècle, les rois de France étaient ducs de Vendôme.",Rue Duguesclin,,Monarchie,,,,,
Passerelle de la Boucle,Boucle (passerelle de la),PASSERELLE,4e / 6e,,Supprimée,Attestée de 1871 à 1881.,"Créée pour l'Exposition universelle de 1872.
Le 22 mai 1875, deux arches sont enlevées par un radeau en détresse. (Annuaire de Lyon 1876 p.IX)
Sur la passerelle de la Boucle, seule, est perçu un péage de 2 centimes. (Annuaire 1875 p. 168)
A été démolie en 1881.
A été également appelée passerelle de l'Exposition.","Délibération du Conseil Municipal du 27 octobre 1871.
Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
""Le bulletin des lois promulgue un décret qui déclare d'utilité publique, la construction d'une passerelle fixe, en fils métalliques sur le Rhône, entre la place de la Boucle et l'entrée du Parc (revue du Lyonnais 1872, p. 252, T. XIV)
1660WP
Annuaire de Lyon de 1876 p. IX.","L'auberge de la Boucle était renommée sous le Second Empire. Avant qu'elle ne soit redressée, la montée formait une sorte de boucle, le pont sur le Rhône portait aussi ce nom.",,,Histoire locale,,,,,
Passerelle de l'Exposition,Exposition (passerelle de l'),PASSERELLE,4e / 6e,,Supprimée,Attestée de 1871 à 1881.,"Créée pour l'Exposition universelle de 1872.
A été démolie en 1881.
A été également appelée passerelle de la Boucle.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Créée pour l'Exposition universelle de 1872.,,,Exposition,,,,,
Passerelle Édouard-Herriot,Édouard-Herriot (passerelle),PASSERELLE,7e,,Supprimée,Supprimée en 1967.,Se trouvait à l'entrée du port Édouard-Herriot.,Fiches préparatoires de Vanario.,"Maire de Lyon de 1905 à 1957. Homme politique et écrivain. Un des chefs du parti radical socialiste. Président de l'Assemblée nationale, ministre, président du conseil. Né à Troyes le 5 juillet 1872, mort à Saint-Genis-Laval le 26 mars 1957.",,,Politique/Personnalité/Maire de Lyon,,,,,
Petite rue de la Part-Dieu,Part-Dieu (petite rue de la),RUE,3e,La Guillotière,Supprimée,Attestée seulement en 1846.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Domaine rural, sur le territoire de la Guillotière, dont le nom signifie ""propriété de Dieu"".",,,Histoire locale/Religion/Urbanisme,,,,,
Petite rue de la Préfecture,Préfecture (petite rue de la),IMPASSE,2e,,Supprimée,Attestée en 1845.,"Devait aboutir rue de la Préfecture, actuelle rue de l'ancienne Préfecture.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de Lyon de 1845.",La Préfecture fut installée dans l'ancien couvent des Jacobins de 1826 à 1858. Les bâtiments furent démolis en 1862-1863.,,,Administration,,,,,
Petite rue du Béguin,Béguin (petite rue du),RUE,7e,La Guillotière,Supprimée,Attestée de 1825 à 1851.,Existe encore sur le dénombrement de 1851.,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.,Cette rue doit son nom à une congrégation religieuse de femmes dont le monastère était établi sur cette partie du territoire de la commune de la Guillotière. (Maynard),,,Religion,,,,,
Petite rue Saint-Pierre-le-Vieux ,Saint-Pierre-le-Vieux (petite rue),RUE,5e,,Supprimée,Attestée en 1814 et supprimée vers 1845.,A été supprimée vers 1845 lors de la rénovation du quartier.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
3S/481",Tenait son nom de l'ancienne église Saint-Pierre-le-Vieux.,,,Religion/Personnalité,,,,,
Place aux Bœufs,Bœufs (place aux),PLACE,2e,,Supprimée,Attestée en 1789.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Indicateur 1789 p.45.",Vraisemblablement une place près de la boucherie de l'Hôpital.,,,Histoire locale/zoologie,,,,,
Place Bel-Air,Bel-Air (place),PLACE,,,Supprimée,Attestée en 1795.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Place Bonin,Bonin (place),PLACE,3e,,Supprimée,Attestée en 1941,Aurait existé vers le cours du Docteur-Long.,"Information d'un lecteur et Rues de Lyon à travers les siècles de Maurice Vanario (2002).
Non retrouvée sur les plans parcellaires ou dans les indicateurs et disparue à une date inconnue.",Inconnue.,,,,,,,,
Place Colonia,Colonia (place),PLACE,3e,,Supprimée,Attestée seulement en 1868.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Peut-être le nom du Père Dominique Colonia, jésuite, historien de Lyon né en 1660, mort en 1741.",,,Religion/Personnalité,,,,,
Place Creuzet,Creuzet (place),PLACE,7e,La Guillotière,Supprimée,Attestée de 1811 à 1813.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
État civil.","Michel Creuzet, propriétaire, adjoint au maire de la Guillotière. Né le 23 juin 1764 à la Guillotière, y décède le 13 mars 1843.",,,Politique/Urbanisme/Personnalité,,,,,
Place de la Boucherie-de-l'Hôtel-Dieu,Boucherie-de-l'Hôtel-Dieu (place de la),PLACE,2e,,Supprimée,Attestée de 1680 à 1716.,,"Fiches préparatoires de Vanario.
DD/56 bis et almanachs.",En référence à la boucherie de l'Hôtel-Dieu construite en 1570. ,,,Commerce/Boucherie,,,,,
Place de la Boucherie-de-l'Hôtel-Dieu,Place de la Boucherie-de-l'Hôtel-Dieu,PLACE,2e,,Supprimée,Attestée de 1680 à 1716.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence à la boucherie de l'Hôtel-Dieu construite en 1570. ,,,Commerce/Boucherie/Hospices civils de Lyon,,,,,
Place de la Châtelaine.,Châtelaine (place de la),AVENUE,3e,,Supprimée,Attestée de 1868 à 1887.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Place de la Douane,Douane (place de la),PLACE,5e,,Supprimée,Attestée en 1680 et supprimée en 1902.,"A été aussi dénommée place de l'Ancienne-Douane.
Se trouvait à l'emplacement actuel du Palais Bondy.
Il n'en reste que la face sud de la rue Carrand.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis p. 24.","Aux XVIIe et XVIIIe siècles, siège de la Douane de Lyon.",,,Douane,,,,,
Place de la Halle-au-Blé,Halle-au-Blé (place de la),PLACE,2e,,Supprimée,Attestée en 1814 et supprimée en 1894.,A été supprimée lors de la création de la rue Président-Carnot.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
3S/549 plan de 1814.","La halle aux blés, construite ne 1811 par Joseph-Jean-Pascal Gay, fut transformée en mont-de-piété par Ennemond Hotelard en 1835-1837 et supprimée lors de la percée de la rue du Président-Carnot.",,,Commerce/Subsistances,,,,,
Place de la Poissonnerie,Poissonnerie (place de la),PLACE,,,Supprimée,Attestée en 1468.,,"Fiches préparatoires de Vanario.
Manuscrit Vermorel, 1468, vente par la Ville d'une grange place de la Poissonnerie.",Inconnue.,,,Histoire locale/Commerce,,,,,
Place de la Poulaillerie-de-Saint-Paul,Poulaillerie-de-Saint-Paul (place de la),PLACE,5e,,Supprimée,Attestée en 1680 et 1716.,"Devait être attenante à la rue de la Poulaillerie-de-Saint-Paul, actuelle rue Lainerie.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis p. 43.",Il y avait là un marchand de volailles.,Rue de la Poulaillerie-Saint-Paul / Rue Lainerie,,Commerce/Gastronomie,,,,,
Place de la Victoire,Victoire (place de la),PLACE,3e,,Supprimée,Dénommée en 1855 et supprimée après 1910.,"A été dénommée place du Port-au-Bois jusqu'en 1842.
A été dénommée place Napoléon de 1842 à 1855.",Délibération du Conseil municipal du 4 août 1854. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Place de la Vigne,Vigne (place de la),PLACE,3e,,Supprimée,Attestée seulement en 1868.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1868.",Inconnue.,,Rue Bredin,Botanique,,,,,
Place de La-Feuillée,La-Feuillée (place de),PLACE,1er,,Supprimée,Attestée de 1557 à 1821.,Était située au bout du pont La-Feuillée.,"Fiches préparatoires de Vanario.
1557 - Suppression d'échoppes place de la Feuillée (Manuscrit Vermorel)",Les feuillées désignent des toilettes rudimentaires recouvertes de feuilles.,Pont de la Feuillée,,Hygiène/Mobilier urbain,,,,,
