Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Rue Carquillat,Carquillat (rue),RUE,1er,,Actuelle,Dénommée en 1933.,,Délibération du Conseil municipal du 10 avril 1933. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Michel-Marie Carquillat, né en décembre 1802 au Petit-Bornand (Savoie), mort à Lyon (4e) le 31 janvier 1884. Maître tisseur renommé, dont l'atelier était régulièrement visité par d'importantes personnalités.",Rue Leroudier,Rue des Chartreux,Soie/Personnalité,Métropole,69381.0,27363.0,,6903811270Z
Rue Carry,Carry (rue),RUE,3e,,Actuelle,Attestée en 1899.,Chemin vicinal ordinaire n° 189.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Indicateur Fournier de 1899.",Nom du propriétaire d'un terrain bordant la rue.,Avenue Félix-Faure,Rue du Dauphiné,Histoire locale/Urbanisme/Personnalité,Métropole,69383.0,27780.0,,6903831285G
Rue Casimir-Périer,Casimir-Périer (rue),RUE,2e,,Actuelle,Créée en 1830 et dénommée en 1837.,"A été dénommée sans suite rue Marie-Thérèse en 1830.
A été dénommée rue des Barricade de 1848 à 1849.",Délibération du Conseil municipal du 18 mai 1837. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Casimir-Pierre Périer, né le 11 octobre 1777 à Grenoble et mort le 16 mai 1832 à Paris. Banquier et homme d'État.",Rue Seguin,Quai Perrache,Politique/Banque/Personnalité,Métropole,69382.0,27552.0,,6903821290S
Rue Catherine-Favre,Catherine-Favre (rue),RUE,8e,7e,Actuelle,Créée en 1926.,Nouvelle voie.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Catherine Favre, tout comme M. Mille, a été à l'origine du lotissement qui a donné naissance à la rue.",Avenue jean-Mermoz,Rue Toussaint-Mille,Histoire locale/Urbanisme/Femme/Personnalité,Métropole,69388.0,28797.0,,6903881310M
Rue Cavenne,Cavenne (rue),RUE,7e,,Actuelle,Attestée en 1839.,"A absorbé la rue Combalot.
Un fragment a changé de dénomination en 1897 : est devenu la rue Raulin.","Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoire de Vanario.
Plan de la Guillotière de Dignoscyo de 1839.","François Cavenne, né le 3 mai 1773 à Origny-Sainte-Benoîte (Aisne), mort à Paris le 11 avril 1856. Ingénieur des ponts et chaussées du département du Rhône. Auteur des projets pour l'amélioration de l'assainissement du quartier de la Guillotière. Sénateur en 1852.",Rue d'Aguesseau,Rue de l'Université,Ponts et chaussées/Urbanisme/Personnalité,Métropole,69387.0,28578.0,,6903871325H
Rue Challemel-Lacour,Challemel-Lacour (rue),RUE,8e,7e,Actuelle,Dénommée en 1924.,Fusion de l'avenue des Abattoirs et d'une partie du chemin du Moulin-à-Vent-à-Gerland.,Délibération du Conseil municipal du 30 juin 1924. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Paul-Armand Challemel-Lacour, homme d'État, préfet du Rhône de 1870 à 1871, membre de l'Académie. Né à Avranches (Manche) le 19 mai 1827, décédé à Paris le 26 novembre 1896.",Rue Saint-Jean-de-Dieu,Route de Vienne,Politique/Personnalité,Métropole,69388.0,28799.0,,6903881375H
Rue Challemel-Lacour,Challemel-Lacour (rue),RUE,7e,,Actuelle,Dénommée en 1924.,Fusion de l'avenue des Abattoirs et d'une partie du chemin du Moulin-à-Vent-à-Gerland.,Délibération du Conseil municipal du 30 juin 1924. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Paul-Armand Challemel-Lacour, homme d'État, préfet du Rhône de 1870 à 1871, membre de l'Académie. Né à Avranches (Manche) le 19 mai 1827, décédé à Paris le 26 novembre 1896.",Rue Marcel-Mérieux,Rue Saint-Jean-de-Dieu,Politique/Personnalité,Métropole,69387.0,28580.0,,6903871375M
Rue Chalopin,Chalopin (rue),RUE,7e,,Actuelle,Dénommée en 1916.,A été dénommée rue Sainte-Jeanne jusqu'en 1916.,Délibération du Conseil municipal du 17 juillet 1916. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"André-Léon Chalopin, né à Chessy (Aube), le 23 août 1885, est instituteur et syndicaliste. Mobilisé au 160ème régiment d'infanterie, il est tué le 30 octobre 1914 au combat de Mouchy (Pas-de-Calais).",Grande rue de la Guillotière,Rue Salomon-Reinach,1914-1918/Personnalité,Métropole,69387.0,28581.0,,6903871380T
Rue Chalumeaux,Chalumeaux (rue),RUE,8e,7e,Actuelle,Attestée en 1933.,Nouvelle voie.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Marie Antoine Auguste Chalumeaux, chanoine régulier de l'Immaculée Conception, curé de Saint-Vincent-de-Paul. Né à Villevieux (Jura), le 14 octobre 1869, décédé à Lyon (7e), le 6 septembre 1942.",Rue Saint-Vincent-de-Paul,Rue du Docteur-Carrier,Religion/Personnalité,Privé,69388.0,28800.0,,6903881385U
Rue Chambovet,Chambovet (rue),RUE,3e,,Actuelle,Attestée en 1885.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002).,"Nom de famille de la mère de Jean-Louis François Richard-Vitton, maire du 3e arrondissement de 1857 à 1869.",Place Charles-Dufraine,Boulevard Pinel,Urbanisme/Femme/Personnalité,Métropole,69383.0,27785.0,,6903831395B
Rue Champier,Champier (rue),RUE,2e,,Actuelle,Attestée en 1814.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
3S/549 plan de 1814.","Symphorien Champier, médecin, échevin de Lyon, historien et humaniste. Né en 1471 ou 1472, mort en 1539.",Place des Cordeliers,Rue Saint-Bonaventure,Renaissance/Humanisme/Médecine/Echevin/Personnalité,Métropole,69382.0,27553.0,,6903821405S
Rue Chantal-Sandrin,Chantal-Sandrin (rue),RUE,8e,,Actuelle,Créée en 2018.,Nouvelle voie.,Délibération du Conseil municipal du 16 mai 2018.,"Adjointe à la mairie du 8e arrondissement de Lyon, décédé le 29 août 2017 à Lyon.",Rue de Montagny,Rue de Montagny,Politique/Femme/Féminisme/Personnalité,Privé,69388.0,37088.0,,6903881460A
Rue Chanteclair,Chanteclair (rue),RUE,5e,,Actuelle,Créée en 1962.,Nouvelle voie.,"Demande du propritaire du terrain du 12 mars 1962, acceptée par le Maire de Lyon le 13 avril. Rues de Lyon à travers les siècles de Maurice Vanario (2002)","M. Piroid, propriétaire du terrain demande l'autorisation de dénommer la rue le 12 mars 1962. Le maire de Lyon donne son accord le 13 avril.",Rue du Commandant-Charcot,Rue Jean-Louis Vincent,Histoire locale/Urbanisme/Personnalité,Métropole,69385.0,28244.0,,6903851437N
Rue Chapiron,Chapiron (rue),RUE,5e,,Actuelle,Attestée en 1925.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
4S/208",Nom du propriétaire des terrains.,Impasse de la Joconde,Rue de Tourvielle,Histoire locale/Urbanisme/Personnalité,Privé,69385.0,28245.0,,6903851450C
Rue Chaponnay,Chaponnay (rue),RUE,3e,La Guillotière,Actuelle,Attestée en 1839.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Plan de la Guillotière de 1839 de Dignoscyo.",La famille de Chaponnay (plus souvent orthographié Chaponay) fut importante à Lyon du XIIIe eu XVIIe siècle.,Quai Victor-Augagneur,Rue Garibaldi,Histoire locale/Noblesse,Métropole,69383.0,27786.0,,6903831455S
Rue Chappet,Chappet (rue),RUE,1er,,Actuelle,Créée en 1824.,,Délibération du Conseil municipal du 28 mai 1824. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Pierre Chappet, philanthrope, né en 1715, décédé à Lyon le 27 mars 1794.",Rue Imbert-Colomès,Rue des Tables-Claudiennes,Philantropie/Personnalité,Métropole,69381.0,27364.0,,6903811460F
Rue Chardonnet,Chardonnet (rue),RUE,4e,,Actuelle,Attestée en 1933.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Hilaire Bernigaud, comte de Chardonnet, chimiste et industriel né à Besançon le 1er mai 1839, mort à Paris le 11 mars 1924. Inventeur de la soie artificielle.",Impasse Chazière,,Sciences et techniques/Personnalité,Privé,69384.0,27992.0,,6903841475J
Rue Charles-Baudelaire,Charles-Baudelaire (rue),RUE,2e,,Actuelle,Dénommée en 2018.,Nouvelle voie.,Lyon Citoyen mars 2018,"Poète, né à Paris le 9 avril 1821, il meurt dans la même ville le 31 août 1867.",Rue Smith,Rue Delandine,Littérature/Poésie/Personnalité,Privé,69382.0,37028.0,,6903821493M
Rue Charles-Biennier,Charles-Biennier (rue),RUE,2e,,Actuelle,Créée en 1938.,Nouvelle voie.,Délibération du Conseil municipal du 7 mars 1938. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Ciseleur, conseiller municipal de 1908 à 1935 et adjoint à la mairie du 2e arrondissement de Lyon. Né le 27 janvier 1864 à Lyon (5e), mort le 19 septembre 1936 à Lyon (2e).",Quai Gailleton,Rue de la Charité,Politique/Personnalité,Métropole,69382.0,27554.0,,6903821495P
Rue Charles-Dullin,Charles-Dullin (rue),RUE,2e,,Actuelle,Dénommée en 1955.,"A été dénommée avenue du Jardin-du-Nord de 1797 à 1812.
A été dénommée rue d'Égypte de 1812 à 1821
A été dénommée rue Amédée de 1821 à 1827.
A été dénommée rue d'Égypte de 1827 à 1955.
Inaugurée le 16 juin 1956 par Edouard Herriot.",Délibération du Conseil municipal du 28 novembre 1955. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Comédien. Débuta à Lyon avant de fonder à Paris, le théâtre de l'atelier. Né à Yenne (Savoie) le 12 mai 1885, décédé à Paris (12e) le 11 décembre 1949.",Qaui des Célestins,,Théâtre/Personnalité,Métropole,69382.0,27555.0,,6903821505A
Rue Charles-Philipon,Charles-Philipon (rue),RUE,2e,,Actuelle,Dénommée en 2018.,Nouvelle voie.,Délibération du Conseil municipal du 28 mai 2018.,"Peintre, dessinateur et créateur de journaux satiriques, né le 19 avril 1800 à Lyon, et mort le 26 janvier 1862 à Paris.",,,Dessin/Journalisme/Personnalité,Mixte,69382.0,37070.0,,6903821520S
Rue Charles-Porcher,Charles-Porcher (rue),RUE,9e,,Actuelle,Créée en 1972.,Nouvelle voie.,Délibération du Conseil municipal du 6 novembre 1972. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Directeur de l'École vétérinaire. Né à Nantes le 20 janvier 1872, mort en 1933.",Rue Albert-Falsan,Rue Pierre-Termier,Médecine vétérinaire/Personnalité,Métropole,69389.0,29107.0,,6903891470G
Rue Charles-Richard,Charles-Richard (rue),RUE,3e,,Actuelle,Attestée en 1868.,"Chemin vicinal ordinaire n° 178.
A été dénommée rue Richard-Laforest.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de Lyon de 1868.","Fils aîné de Jean-Louis François Richard-Vitton. Avocat né à Saint-Chamond (Loire) le 19 avril 1832, décédé en 1887.",Place de la Reconnaissance,Rue Ferdiand-Buisson,Urbanisme/Personnalité,Métropole,69383.0,27787.0,,6903831525T
Rue Charpentier,Charpentier (rue),RUE,8e,7e,Actuelle,Attestée en 1928.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue de Montagny,Route de Vienne,,Privé,69388.0,28802.0,,6903881535G
Rue Chateaubriand,Chateaubriand (rue),RUE,7e,,Actuelle,Créée en 1933.,Nouvelle voie.,Attribué en 1933 pas la Société immobilière de la Mouche après approbation du Maire de Lyon. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"François-René, vicomte de Châteaubriand, écrivain né à Saint-Malo en 1768 et mort à Paris en 1848.",Avenue Jean-Jaurès,Rue de Gerland,Littérature/Personnalité,Métropole,69387.0,28582.0,,6903871565U
Rue Chavanne,Chavanne (rue),RUE,1er,,Actuelle,Dénommée en 1911.,"A été dénommée rue de la Vieille-Boucherie en 1680.
A été dénommée rue Saint-Côme.",Délibération du Conseil municipal du 25 septembre 1911. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Docteur en médecine, adjoint et président du Conseil municipal de Lyon, député du Rhône, bienfaiteur de l'École de la Martinière. Né à Lyon le 11 octobre 1822, décédé à Paris le 3 mars 1911.",Rue Paul-Chenavard,Rue des Bouquetiers,Médecine/Politique/Personnalité,Métropole,69381.0,27365.0,,6903811585S
Rue Chazay,Chazay (rue),RUE,5e,,Actuelle,Attestée en 1927 et classée dans la voirie communale en 1966.,,Délibération du Conseil municipal du 26 septembre 1966. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom d'un propriétaire des terrains. Maurice Vanario dans ses Rues de Lyon mentionne le lotissement Charnay-Vincent, reconnu par la préfecture sous le nom d'""Association des propriétaires de Beausoleil"". Intégrée dans la voirie communale en 1966.",Rue du Commandant-Charcot,Rue Pierre-Valdo,Personnalité,Métropole,69385.0,28246.0,,6903851590E
Rue Chazière,Chazière (rue),RUE,4e,,Actuelle,Dénommée en 1889.,"A été dénommée chemin de l'Étranglard.
A été dénommée chemin des Perrières.
A été dénommée rue des Missionnaires.",Délibération du Conseil municipal du 9 mai 1889. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Jean Chazière, né à Lyon le 8 septembre 1821 il y est mort le 21 octobre 1885. Clerc d'avoué, a institué la Ville de Lyon sa légataire universelle.",Boulevard de la Croix-Rousse,Rue Hénon,Leg/Personnalité,Métropole,69384.0,28057.0,,6903841600V
Rue Chevalier,Chevalier (rue),RUE,3e,,Actuelle,Attestée en 1868.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Du nom d'un propriétaire riverain qui a cédé le sol pour l'ouverture de cette rue.,Rue Bellevue,Boulevard Pinel,Personnalité,Métropole,69383.0,27788.0,,6903831615R
Rue Chevillard,Chevillard (rue),RUE,6e,,Actuelle,Créée en 1909.,Nouvelle voie.,Délibération du Conseil municipal du 9 août 1909. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"François-Marie-Edmond Chevillard, ,é le 29 avril 1842 à Lyon, décédé à Lyon (6e) le 3 janvier 1899. Fabricant de soierie. Conseiller municipal de 1881 à 1896, premier adjoint. Administrateur des Hospices.",Boulevard Jules-Favre,Rue Lalande,Soie/Politique/Personnalité,Métropole,69386.0,28412.0,,6903861625N
Rue Chevreul,Chevreul (rue),RUE,7e,,Actuelle,Dénommée en 1886.,A été dénommée rue du Rhône jusqu'en 1886.,Délibération du Conseil municipal du 17 août 1886. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Eugène Chevreul, chimiste, né le 31 août 1786 à Angers, mort le 9 avril 1889 à Paris.",Quai Claude-Bernard,Route de Vienne,Sciences et techniques/Personnalité,Métropole,69387.0,28583.0,,6903871630P
Rue Childebert,Childebert (rue),RUE,2e,,Actuelle,Dénommée en 1841.,"A été dénommée ruette Saint-Jacques.
A été dénommée rue de la Boucherie-de-l'Hôpital jusqu'au alentours de 1820.
A été dénommée rue de l'Attache-des-Bœufs de 1820 à 1841.","Délibération du Conseil municipal du 5 août 1841. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)","Roi des francs qui fonda en 549 l'hôpital Notre-Dame de la Saunerie, le premier de la ville.",Rue du Président-Édouard-Herriot,Quai Jules-Courmont,Monarchie/Personnalité,Métropole,69382.0,27556.0,,6903821635S
Rue Chinard,Chinard (rue),RUE,9e,5e,Actuelle,Dénommée en 1874.,A été dénommée rue de l'Annonciation jusqu'en 1874.,"Délibération du Conseil municipal du 11 novembre 1874. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)","Joseph Chinard, né à Lyon (paroisse Saint-Vincent) le 12 février 1756, décédé à Lyon le 30 juin 1813. Sculpteur, premier prix de sculpture à Rome en 1786. Membre de l'Académie de Lyon, professeur à l'École de la sculpture.",Rue Masaryk,Rue de Bourgogne,Beaux-arts/Sculpture/Personnalité,Métropole,69389.0,29108.0,,6903891640S
Rue Clair-Tisseur,Clair-Tisseur (rue),RUE,7e,,Actuelle,Créée en 1912.,Nouvelle rue.,Délibération du Conseil municipal du 14 octobre 1912. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Barthélemy Clair Tisseur, né le 27 janvier 1827 à Lyon, mort à Nyons le 30 septembre 1895, plus connu sous le pseudonyme de Nizier du Puitspelu, est un écrivain et architecte.",Rue Claude-Boyer,Rue Rachais,Architecture/Littérature/Personnalité,Métropole,69387.0,28584.0,,6903871660X
Rue Claude-Boyer,Claude-Boyer (rue),RUE,7e,,Actuelle,Dénommée en 1927.,"A été dénommée rue de Provence de 1827 à 1854.
A été dénommée rue de Marseille en 1854.
A été dénommée rue Notre-Dame en 1855.
A de nouveau été dénommée rue de Provence de 1856 à 1868.
A été dénommée rue de l'Hospice-des-Vieillards de 1868 à 1927.",Délibération du Conseil municipal du 18 septembre 1927. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Sapeur-pompier, né le 9 mars 1870 à Monistrol-d'Allier (Haute-Loire), mort au feu dans l'incendie du quai de l'Archevêché (Romain-Rolland), le 3 décembre 1903.",Grande rue de la Guillotière,Rue du Béguin,Sapeurs-pompiers/Personnalité,Métropole,69387.0,28585.0,,6903871675N
Rue Claude-Debussy,Claude-Debussy (rue),RUE,9e,,Actuelle,Créée en 1960.,Nouvelle voie.,Délibération du Conseil municipal du 1er mars 1960. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Musicien, compositeur né à Saint-Germain-en-Laye en 1862, mort à Paris en 1918.",Rue des Docteurs-Cordier,Rue Georges-Gouy,Musique/Personnalité,Métropole,69389.0,29109.0,,6903891680K
Rue Claude-Farrère,Claude-Farrère (rue),RUE,3e,,Actuelle,Dénommée en 1970.,A été dénommée rue Gensoul jusqu'en 1970.,Délibération du Conseil municipal du 30 novembre 1970. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Écrivain, de son vrai nom, Frédéric-Charles Bargone, né à Lyon (6e) le 27 avril 1876, décédé à Paris (5e) le 21 juin 1957.",Rue Viala,Boulevard Pinel,Littérature/Personnalité,Métropole,69383.0,27789.0,,6903831683P
Rue Claude-Faye,Claude-Faye (rue),RUE,9e,Saint-Rambert-l'Île-Barbe,Actuelle,Dénommée en 1947.,,Délibération du Conseil municipal de Saint-Rambert du 7 février 1947. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Préfet, né à Lyon le 25 juillet 1793, décédé à Saint-Rambert-l'Île-Barbe le 20 mai 1875.",Quai Raoul-Carrié,Avenue du Frêne,Administration/Personnalité,Privé,69389.0,29110.0,,6903891685R
Rue Claude-Joseph-Bonnet,Claude-Joseph-Bonnet (rue),RUE,4e,,Actuelle,Créée en 1870.,"A absorbé un fragment du cours des Tapis.
A absorbé un fragment de la place Claude-Joseph-Bonnet.",Délibération du Conseil municipal du 4 mars 1870. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Ouvrier en soie, il devint fabricant et fonda des usines à Jujurieux et à Lyon. Né le 18 février 1786 à Jujurieux (Ain), décédé le 12 octobre 1867 à Lyon (1er).",Rue Tabareau,Rue Philippe-de-Lassalle,Soie/Personnalité,Métropole,69384.0,28058.0,,6903841690T
Rue Claude-Le-Laboureur,Claude-Le-Laboureur (rue),RUE,9e,,Actuelle,Dénommée en 1964.,A été dénommée chemin des Prés jusqu'en 1964.,Délibération du Conseil municipal du 27 janvier 1964. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Prévôt et historien de l'île Barbe, né en 1601, mort en 1681 ou après 1682. ",Rue des Docteurs-Cordier,,Histoire locale/Personnalité,Métropole,69389.0,29111.0,,6903891700G
Rue Claude-Veyron,Claude-Veyron (rue),RUE,7e,,Actuelle,Dénommée en 1934.,A été dénommée rue d'Heyrieux jusqu'en 1934.,Délibération du Conseil municipal du12 mars 1934. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Représentant de commerce. Conseiller municipal en 1900, adjoint à la Mairie du 3e arrondissement de 1904 à 1912. Né à Villeneuve-de-Marc (Isère), le 21 avril 1861, décédé à Lyon (7e) le 18 décembre 1933.",Grande rue de la Guillotière,Boulevard des Tchécoslovaques,Politique/Personnalité,Métropole,69387.0,28586.0,,6903871710B
Rue Claude-Violet,Claude-Violet (rue),RUE,8e,7e,Actuelle,Créée en 1926.,Nouvelle voie.,Arrêté préfectoral du 22 décembre 1926. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Cultivateur, beau-frère de M. Mille, qui a créé cette rue et un lotissement en 1926.",Avenue Général-Frère,Avenue Jean-Mermoz,Urbanisme/Histoire locale/Personnalité,Métropole,69388.0,28803.0,,6903881715C
Rue Claudia,Claudia (rue),RUE,2e,,Actuelle,Créée en 1864.,Nouvelle voie.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
1C/702106","Claudia Boussonnet, née à Lyon en 1634, décédée à Paris en 1694. Graveuse de talent.",Rue Gentil,Place des Cordeliers,Gravure/Femme/Personnalité,Métropole,69382.0,27557.0,,6903821725P
Rue Claudius-Collonge,Claudius-Collonge (rue),RUE,2e,,Actuelle,Dénommée en 1968.,A été dénommée rue d'Alger jusqu'en 1868.,Délibération du Conseil municipal du 1er avril 1968. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Président de l'Union française des Anciens combattants. Né le 13 décembre 1896 à Lyon (3e), décédé à Oullins le 7 mars 1968.",Cours de verdun,Rue Bichat,Anciens combattants/Personnalité,Métropole,69382.0,27558.0,,6903821729U
Rue Claudius-Linossier,Claudius-Linossier (rue),RUE,4e,,Actuelle,Dénommée en 1959.,"A été dénommée rue du Sentier avant 1849 et de 1851 à 1959.
A été dénommée rue du Christianisme de 1849 à 1851.",Délibération du Conseil municipal du 2 mars 1959. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Célèbre dinandier, bienfaiteur de l'École des beaux-arts. Né à Lyon (4e), le 21 novembre 1893, décédé à Lyon (4e) le 8 octobre 1953.",Rue de la Tour-du-Pin,Rue Louis-Thévenet,Beaux-arts/Personnalité,Métropole,69384.0,28059.0,,6903841730L
Rue Claudius-Penet,Claudius-Penet (rue),RUE,3e,,Actuelle,Créée en 1925.,Nouvelle voie.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Propriétaire des terrains sur lesquels la voie fut ouverte en 1925.,Route de Genas,Rue de l'Est,Histoire locale/Personnalité,Métropole,69383.0,27790.0,,6903831735W
Rue Claudius-Pionchon,Claudius-Pionchon (rue),RUE,3e,,Actuelle,Dénommée en 1960.,"A été dénommée chemin de Sainte-Hélène jusqu'en 1868.
A été dénommée chemin de Sainte-Pauline en 1868.
A été dénommée rue Sainte-Pauline jusqu'en 1960.",Délibération du Conseil municipal du 23 mars 1960. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Industriel, fondateur de la Maison Fournier et Pionchon, juge au tribunal de Commerce, administrateur de la Martinière, de la Société d'enseignement professionnel du Rhône. Né le 5 juin 1875 à Lyon (4e), mort le 29 juillet 1954 à Lyon (3e).",Rue Saint-Antoine,Rue Sainte-Anne-de-Baraban,Industrie/Enseignement professionnel/Personnalité,Métropole,69383.0,27791.0,,6903831740B
Rue Clavière,Clavière (rue),RUE,9e,Saint-Rambert-l'Île-Barbe,Actuelle,Créée en 1836.,Nouvelle voie.,Délibération du Conseil municipal de Saint-Rambert du 16 octobre 1836. Rues de Lyon à travers les siècles de Maurice Vanario (2002),La famille Clavière est donatrice du sol.,Grande rue de Saint-Rambert,Rue du général-Girodon,Histoire locale/Urbanisme,Métropole,69389.0,29113.0,,6903891745F
Rue Cléberg,Cléberg (rue),RUE,5e,,Actuelle,Attestée en 1818.,A été dénommée chemin de la Croix-de-Colle-à-Fourvière.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
3S/353","Jean Cléberg, dit le Bon Allemand, un des premiers bienfaiteurs de l'Hospice de la charité. Né à Nuremberg vers 1485, décédé à Lyon le 6 septembre 1546.",,,Bienfaisance/Hôpitaux/Hospices civils de Lyon/Personnalité,Métropole,69385.0,28247.0,,6903851750D
Rue Clément-Marot,Clément-Marot (rue),RUE,7e,3e,Actuelle,Dénommée en 1911 et fragmentée en 1926.,"A été dénommée chemin du Bac-à-Traille jusqu'en 1911.
A absorbé le passage des Écoles en 1912.
Un fragment a changé de dénomination en 1926 : est devenu la rue Auguste-Payant.",Délibération du Conseil municipal du 30 octobre 1911. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Poète né à Cahors en 1496, mort à Turin en 1544.",Rue Félix-Brun,Rue André-Bollier,Renaissance/Littérature/Poésie/Personnalité,Métropole,69387.0,28587.0,,6903871755A
Rue Clos-Savaron,Clos-Savaron (rue),RUE,4e,,Actuelle,Créée en 1925.,Nouvelle voie.,Délibération du Conseil municipal du 2 mars 1925. Rues de Lyon à travers les siècles de Maurice Vanario (2002),François Savaron fut échevin de Lyon en 1666. Ses descendants ont consenti à l'aliénation du terrain.,,,Histoire locale/Urbanisme/Echevin/Personnalité,Métropole,69384.0,28080.0,,6903841760U
Rue Clos-Suiphon,Clos-Suiphon (rue),RUE,3e,,Actuelle,Créée en 1854.,Nouvelle voie.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Louis-François Suiphon, propriétaire du terrain, conseiller municipal en 1820. Né à Murigniet (Isère), le 20 août 1753, décédé à la Guillotière le 10 novembre 1841.",,,Urbanisme/Politique/Personnalité,Métropole,69383.0,27792.0,,6903831765D
Rue Clotilde-Bizolon,Clotilde-Bizolon (rue),RUE,2e,,Actuelle,Dénommée en 1940.,A été dénommée rue Martin jusqu'en 1940.,Délibération du Conseil municipal du 28 avril 1940. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Marie Josephe Clotilde Thévenet, épouse de Joseph Bizolon, née à Coligny le 20 janvier 1871, décédée à Lyon (2e arrondissement) le 3 mars 1940. Fondatrice de l'Œuvre du déjeuner du soldat, elle distribuait des repas aux soldats près de la gare de Perrache pendant la guerre de 1914-1918, d'où son surnom de ""Maman des Poilus"".",Quai Tilsitt,Place Antoine-Vollon,1914-1918/Femme/Gastronomie/Personnalité,Métropole,69382.0,27560.0,,6903821770N
Rue Coignet,Coignet (rue),RUE,3e,,Actuelle,Attestée en 1868.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Louis Coignet, né à Saint-Étienne (Loire) le 13 février 1819, décédé à Lyon (6e) le 21 mars 1872. Propriétaire des terrains sur lesquels la rue fut ouverte.",Rue Viala,Boulevard Pinel,Urbanisme/Personnalité,Métropole,69383.0,27793.0,,6903831775P
Rue Colette,Colette (rue),RUE,8e,7e,Actuelle,Attestée en 1932.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de 1932.",Inconnue.,,,Prénom/Femme,Métropole,69388.0,28804.0,,6903881785D
Rue Colonel-Arnaud-Beltrame,Colonel-Arnaud-Beltrame (rue),RUE,8e,,Actuelle,Créée en 2018.,Nouvelle voie.,Délibération du Conseil municipal du 17 décembre 2018.,"Officier supérieur de gendarmerie, né le 18 avril 1973 à Étampes (Essonne) et mort en service, lors d'une attaque terroriste, le 24 mars 2018 à Carcassonne (Aude).",Rue Audibert-Lavirotte,Rue Miriam-Makeba,Histoire militaire/Terrorisme/Personnalité,En attente,69388.0,37125.0,,6903880470Z
